Class,Attribute Name,Units (in 2024 USD),2019,2020,2021,2022,2023,2024,Note that values are inflated from the procurement year USD to 2024 USD using CPI
MonopileDesign,monopile_steel_cost,USD/t,3531,3427,3980,4019,3758,3636,
MonopileDesign,tp_steel_cost,USD/t,9744,9575,10516,10559,10110,9926,
SemiSubmersibleDesign,stiffened_column_CR,USD/t,3869,3787,4238,4268,4053,3961,
SemiSubmersibleDesign,truss_CR,USD/t,7751,7585,8489,8549,8120,7935,
SemiSubmersibleDesign,heave_plate_CR,USD/t,7751,7585,8489,8549,8120,7935,
SemiSubmersibleDesign,secondary_steel_CR,USD/t,8991,8799,9847,9917,9419,9205,
SemiSubmersibleDesign,steel_CR,USD/t,4529,4473,4824,4823,4660,4598,
MooringSystemDesign,mooring_line_cost_rate (low),USD/m,495,484,542,546,518,507,
MooringSystemDesign,mooring_line_cost_rate (mid),USD/m,894,875,979,986,937,915,
MooringSystemDesign,mooring_line_cost_rate (high),USD/m,1349,1320,1478,1488,1413,1381,
ExportSystemDesign,crossing_unit_cost,USD,618233,616204,635411,617643,606091,607253,
calc_onshore_cost,shunt_unit_cost,USD/cable,13405,13282,13955,13934,13656,13557,
calc_onshore_cost,switchgear_cost,USD/cable,9620541,9532606,10015460,10000573,9800934,9729618,
calc_onshore_cost,compensation_rate,USD/cable,32274698,31979697,33599562,33549617,32879876,32640626,
calc_onshore_cost,onshore_converter_cost (HVAC),USD,0,0,0,0,0,0,
calc_onshore_cost,onshore_converter_cost (HVDC-monopole),USD,161889059,160409343,168534543,168284023,164924619,163724546,
calc_onshore_cost,onshore_converter_cost (HVDC-bipole),USD,360899176,357600447,375713950,375155466,367666348,364991025,
calc_onshore_cost,onshore_construction_rate (HVAC),USD,5155703,5108578,5367342,5359364,5252376,5214158,
calc_onshore_cost,onshore_construction_rate (HVDC-monopole),USD,90018566,89195769,93713794,93574492,91706492,91039190,
calc_onshore_cost,onshore_construction_rate (HVDC-bipole),USD,103114050,102171556,107346843,107187276,105047528,104283150,
SubstationDesign,mpt_cost_rate,USD/MW,15501,15266,16438,16503,15983,15772,
SubstationDesign,topside_fab_cost_rate,USD/t,17981,17709,19068,19143,18540,18296,
SubstationDesign,topside_design_cost (HVAC),USD,190268580,187396548,200826521,201775306,195635161,193140000,
SubstationDesign,topside_design_cost (HVDC-monopole),USD,521332364,513463049,550260924,552860577,536036696,529200000,
SubstationDesign,topside_design_cost (HVDC-bipole),USD,844061922,831321127,890898640,895107601,867868936,856800000,
SubstationDesign,shunt_cost_rate,USD/MW,43401,42746,46026,46207,44752,44163,
SubstationDesign,mpt_unit_cost,USD/mpt,2959373,2932324,3080854,3076275,3014864,2992926,
SubstationDesign,shunt_unit_cost,USD/cable,10311,10217,10735,10719,10505,10428,
SubstationDesign,switchgear_cost,USD/cable,4124562,4086862,4293874,4287491,4201901,4171326,
SubstationDesign,dc_breaker_cost,USD/cable,10826975,10728013,11271419,11254664,11029990,10949731,
SubstationDesign,backup_gen_cost,USD,1240043,1221301,1315037,1320204,1278617,1261792,
SubstationDesign,workspace_cost,USD,2480086,2442601,2630074,2640408,2557235,2523584,
SubstationDesign,other_ancillary_cost,USD,3720128,3663902,3945111,3960613,3835852,3785375,
SubstationDesign,topside_assembly_factor,USD,0,0,0,0,0,0,
SubstationDesign,converter_cost (HVAC),USD,0,0,0,0,0,0,
SubstationDesign,converter_cost (HVDC-monopole),USD,225201395,221802065,237697746,238820725,231553266,228600000,
SubstationDesign,converter_cost (HVDC-bipole),USD/t,524878842,516955995,554004196,556621533,539683204,532800000,
SubstationDesign,oss_substructure_cost_rate,USD/t,3720,3664,3945,3961,3836,3785,
SubstationDesign,oss_pile_cost_rate,USD/km,0,0,0,0,0,0,
Cables,HVDC_2000mm_320kV.yaml,USD/km,926881,922699,944811,918267,900195,900000,
Cables,HVDC_2000mm_320kV_dynamic.yaml,USD/km,1112258,1107239,1133774,1101920,1080234,1080000,
Cables,HVDC_2000mm_400kV.yaml,USD/km,757652,751463,780937,765129,745922,745360,
Cables,HVDC_2500mm_525kV.yaml,USD/km,1542678,1540310,1572457,1522059,1498261,1500902,
Cables,XLPE_1000m_220kV_dynamic.yaml,USD/km,1351691,1343861,1405169,1370083,1337359,1339642,
Cables,XLPE_1000mm_220kV.yaml,USD/km,1542678,1540310,1572457,1522059,1498261,1500902,
Cables,XLPE_1200mm_220kV.yaml,USD/km,1542678,1540310,1572457,1522059,1498261,1500902,
Cables,XLPE_1000mm_220kV_dynamic.yaml,USD/km,1851214,1848372,1886948,1826471,1797913,1801082,
Cables,XLPE_1200mm_275kV.yaml,USD/km,1412311,1410143,1439573,1393435,1371647,1374065,
Cables,XLPE_1600mm_275kV.yaml,USD/km,1629590,1627088,1661046,1607809,1582670,1585460,
Cables,XLPE_185mm_66kV.yaml,USD/km,245398,244444,253198,246094,241090,241542,
Cables,XLPE_185mm_66kV_dynamic.yaml,USD/km,294477,293333,303838,295313,289308,289850,
Cables,XLPE_1900mm_275kV.yaml,USD/km,1390583,1388449,1417426,1371997,1350545,1352926,
Cables,XLPE_400mm_33kV.yaml,USD/km,370940,369722,381247,370586,363654,364352,
Cables,XLPE_500mm_132kV.yaml,USD/km,543197,542363,553682,535936,527557,528487,
Cables,XLPE_500mm_132kV_dynamic.yaml,USD/km,651836,650835,664418,643124,633068,634184,
Cables,XLPE_500mm_220kV.yaml,USD/km,812643,806005,837618,820663,800062,799459,
Cables,XLPE_630mm_220kV.yaml,USD/km,867634,860547,894299,876196,854201,853557,
Cables,XLPE_630mm_33kV.yaml,USD/km,556409,554583,571870,555879,545482,546528,
Cables,XLPE_630mm_66kV.yaml,USD/km,490796,488888,506397,492189,482180,483084,
Cables,XLPE_630mm_66kV_dynamic.yaml,USD/km,588955,586665,607676,590627,578616,579700,
Cables,XLPE_800mm_220kV.yaml,USD/day,948287,940541,977431,957645,933606,932902,
Vessels,example_ahts_vessel.yaml,USD/day,107187,107187,107187,107187,107187,107187,
Vessels,example_cable_lay_vessel.yaml,USD/day,241171,241171,241171,241171,241171,241171,
Vessels,example_feeder.yaml,USD/day,93692,93692,93692,93692,93692,93692,
Vessels,example_heavy_feeder.yaml,USD/day,147239,147239,147239,147239,147239,147239,
Vessels,example_heavy_lift_vessel.yaml,USD/day,624612,624612,624612,624612,624612,624612,
Vessels,example_scour_protection_vessel.yaml,USD/day,149907,149907,149907,149907,149907,149907,
Vessels,example_support_vessel.yaml,USD/day,122699,122699,122699,122699,122699,122699,
Vessels,example_towing_vessel.yaml,USD/day,37516,37516,37516,37516,37516,37516,
Vessels,example_wtiv.yaml,USD/day,400000,400000,400000,400000,400000,400000,
Vessels,example_wtiv_foreign.yaml,USD/day,250000,250000,250000,250000,250000,250000,
Vessels,floating_barge.yaml,USD/day,147239,147239,147239,147239,147239,147239,
Vessels,floating_heavy_lift_vessel.yaml,USD/month,613494,613494,613494,613494,613494,613494,
Vessels,future_feeder.yaml,,122699,122699,122699,122699,122699,122699,
Ports,port_cost_per_month,USD,2498449,2498449,2498449,2498449,2498449,2498449,
Turbine,turbine_capex,USD,1756,1726,1895,1903,1822,1789,
Project Parameters,site_auction_price,USD,122698898,122698898,122698898,122698898,122698898,122698898,
Project Parameters,site_assessment_cost,USD,61349449,61349449,61349449,61349449,61349449,61349449,
Project Parameters,construction_plan_cost,,1226989,1226989,1226989,1226989,1226989,1226989,
Project Parameters,installation_plan_cost,,306747,306747,306747,306747,306747,306747,
